0.2	0.09	
0.4	0.04	
0.2	0.05	
0.4	0.04	
0.2	0.07	
0.2	0.07	
0.2	0.07	
0.2	0.12	
0.2	0.12	
0.2	0.08	
0.2	0.08	
0.4	0.04	
0.2	0.08	
0.2	0.11	
0.2	0.09	
0.2	0.04	
0.4	0.07	
0.2	0.11	
0.2	0.12	
0.6	0.04	
0.2	0.11	
0.2	0.09	
0.2	0.12	
0.2	0.11	
0.2	0.11	
0.2	0.13	
0.2	0.07	
0.4	0.04	
0.2	0.07	
0.2	0.13	
0.2	0.07	
0.2	0.08	
0.2	0.13	
0.2	0.07	
0.2	0.09	
0.2	0.09	
0.2	0.15	
0.2	0.08	
0.2	0.12	
0.4	0.04	
0.2	0.09	
0.2	0.12	
0.2	0.11	
0.2	0.09	
0.2	0.12	
0.2	0.04	
0.2	0.12	
0.2	0.09	
0.2	0.09	
0.2	0.15	
0.2	0.12	
0.2	0.11	
0.4	0.04	
0.2	0.09	
0.2	0.09	
0.2	0.09	
0.2	0.11	
0.2	0.15	
0.2	0.13	
0.2	0.13	
0.2	0.11	
0.4	0.04	
0.2	0.08	
0.2	0.05	
0.2	0.07	
0.2	0.09	
0.2	0.07	
0.2	0.11	
0.2	0.08	
0.2	0.07	
0.2	0.15	
0.2	0.13	
0.2	0.12	
0.2	0.09	
0.2	0.15	
0.2	0.09	
0.2	0.11	
0.2	0.13	
0.2	0.08	
0.2	0.13	
0.2	0.08	
0.2	0.07	
0.4	0.07	
0.2	0.15	
0.2	0.12	
0.2	0.11	
0.2	0.08	
0.2	0.09	
0.2	0.12	
0.2	0.13	
0.2	0.07	
0.2	0.16	
0.2	0.09	
0.2	0.11	
0.4	0.09	
0.2	0.13	
0.2	0.08	
0.2	0.07	
0.2	0.09	
0.2	0.07	
0.2	0.12	
0.2	0.09	
0.2	0.15	
0.4	0.07	
0.2	0.13	
0.2	0.11	
0.2	0.12	
0.2	0.12	
0.2	0.07	
0.2	0.16	
0.2	0.15	
0.4	0.04	
0.2	0.13	
0.2	0.08	
0.2	0.07	
0.2	0.11	
0.2	0.11	
0.2	0.11	
0.2	0.13	
0.2	0.16	
0.2	0.11	
0.2	0.16	
0.4	0.07	
0.2	0.11	
0.2	0.09	
0.4	0.07	
0.2	0.13	
0.2	0.07	
0.2	0.11	
0.2	0.12	
0.2	0.12	
0.2	0.13	
0.2	0.11	
0.2	0.11	
0.2	0.07	
0.2	0.13	
0.2	0.07	
0.2	0.15	
0.2	0.15	
0.2	0.11	
0.2	0.15	
0.2	0.15	
0.2	0.12	
0.2	0.12	
0.2	0.09	
0.2	0.09	
0.2	0.09	
0.2	0.13	
0.2	0.07	
0.2	0.11	
0.2	0.12	
0.2	0.15	
0.2	0.16	
0.2	0.13	
0.2	0.16	
0.2	0.07	
0.2	0.11	
0.2	0.08	
0.2	0.13	
0.2	0.11	
0.2	0.09	
0.2	0.13	
0.2	0.15	
0.2	0.04	
0.2	0.11	
0.2	0.09	
0.2	0.13	
0.2	0.15	
0.2	0.09	
0.2	0.16	
0.2	0.09	
0.2	0.11	
0.2	0.11	
0.2	0.07	
0.2	0.15	
0.2	0.13	
0.2	0.13	
0.2	0.09	
0.2	0.15	
0.2	0.11	
0.2	0.15	
0.2	0.13	
0.2	0.12	
0.2	0.11	
0.2	0.09	
0.2	0.09	
0.2	0.12	
0.2	0.07	
0.2	0.12	
0.2	0.12	
